cdr_id,subscriber_id,msisdn,call_type,direction,destination_type,roaming_flag,start_time,end_time,duration,data_volume_mb,plan_id,cell_id,ground_truth_leakage_type,mediation_status
ca2b16ef-80b4-45ca-84b9-26c258b8fdda,1070,9586682518,data,incoming,national,TRUE,18/01/2024 00:35:43,18/01/2024 00:43:27,0,24.35,P1,117,none,success
8c9bb312-3e1c-47ea-9cef-80ec7a26ae48,1966,9695167666,data,outgoing,national,FALSE,29/01/2024 15:41:16,29/01/2024 15:50:24,0,31.61,P2,151,none,success
68c78016-0e10-4e45-8397-bff8d4e56d62,1493,9138950747,data,outgoing,national,FALSE,16/01/2024 00:02:55,16/01/2024 00:08:48,0,4.97,P2,178,none,success
fd4c59fe-7bcd-4a94-9f89-9a020b5d3ffa,1043,9901146923,data,outgoing,international,FALSE,24/01/2024 07:07:19,24/01/2024 07:15:50,0,3.7,P2,188,none,success
79cfc747-87e6-498e-b154-e7559d2065dd,1529,9530914328,data,incoming,international,FALSE,25/01/2024 01:22:23,25/01/2024 01:24:52,0,29.25,P3,147,none,success
ee5b5292-3b89-4162-8e5c-21301e85b840,1043,9679413339,data,incoming,national,FALSE,28/01/2024 11:26:43,28/01/2024 11:36:00,0,0.03,P4,177,none,success
59b7d343-c138-4051-b8fa-97e59daab16c,1896,9740148424,sms,incoming,international,TRUE,05/01/2024 23:29:15,05/01/2024 23:31:07,0,0,P0,128,none,success
73289f15-ffb7-4da8-88b4-ca94cabeab14,1817,9540831258,sms,outgoing,national,FALSE,21/01/2024 19:00:11,21/01/2024 19:06:17,0,0,P0,114,none,success
5059cb20-d78a-4ddb-bede-7890090f7d47,1701,9153873151,sms,incoming,national,TRUE,18/01/2024 17:56:04,18/01/2024 18:04:11,0,0,P1,111,none,success
8ad10371-52ef-48e6-976f-13edad70a305,1826,9365471487,sms,outgoing,national,FALSE,15/01/2024 20:38:00,15/01/2024 20:45:08,0,0,P1,137,none,success
81894aa8-788b-4852-8cab-2c2a15271138,1291,9615678209,sms,incoming,international,TRUE,24/01/2024 10:35:48,24/01/2024 10:36:58,0,0,P1,116,none,success
ae8cbc4d-0e00-4f5a-a4da-1dbf9629f18f,1241,9687610816,sms,outgoing,international,FALSE,05/01/2024 02:33:52,05/01/2024 02:43:14,0,0,P2,120,none,success
9aa99b0c-fe39-4b3d-bd38-0cc51535a3f2,1233,9045407120,sms,incoming,international,FALSE,07/01/2024 22:16:19,07/01/2024 22:24:13,0,0,P2,106,none,success
eaae3a95-117b-4e7f-b8ce-c33fc7b7d7be,1980,9475705553,sms,incoming,national,TRUE,20/01/2024 02:50:56,20/01/2024 02:58:13,0,0,P4,101,none,success
32eb627f-09be-4537-8d0a-23f1a0b56cd7,1274,9972632467,voice,outgoing,national,FALSE,24/01/2024 13:48:34,24/01/2024 13:55:39,425,0,P1,132,none,success
fcd55206-c2f9-4952-9964-d33fa0d55ee8,1069,9053384257,voice,incoming,national,FALSE,23/01/2024 10:43:31,23/01/2024 10:45:21,110,0,P2,150,none,success
40ca307a-df45-4a4c-a361-5d9c8e32e93c,1247,9714501759,voice,incoming,national,FALSE,25/01/2024 13:12:43,25/01/2024 13:22:12,569,0,P2,142,none,success
236ac2c9-9074-430d-9c38-7d499de85dd8,1356,9362973257,voice,outgoing,international,FALSE,05/01/2024 11:31:09,05/01/2024 11:32:45,96,0,P4,175,none,success
327723a1-499a-4788-a57e-0925b6428676,1970,9074844093,data,incoming,national,TRUE,02/01/2024 20:01:00,02/01/2024 20:06:57,0,0.94,P0,114,none,success
