cdr_id,subscriber_id,msisdn,call_type,direction,destination_type,roaming_flag,start_time,end_time,duration,data_volume_mb,plan_id,cell_id,ground_truth_leakage_type,mediation_status,rn
84b602a3-6ed2-846d-8a39-f2dc61a38a54,1010,5656421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P3,100,none,success,
84b602a3-6ed2-846d-8a39-f2dc61a38a54,1010,5656421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P3,100,L4_duplicate,success,
84b602a3-6ed2-846d-8a39-f2dc61a38b54,1010,5656421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P3,100,L4_duplicate,success,
84b602a3-6ed2-846d-8a39-g2dc61a38c63,1011,5756421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P2,103,none,success,
84b602a3-6ed2-846d-8a39-g2dc61a38c63,1011,5756421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P2,103,L4_duplicate,success,
84b602a3-6ed2-846d-8a39-g2dc61a39c63,1011,5756421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P2,103,L4_duplicate,success,
84b602a3-6ed2-846d-8a39-h2dc61a38b62,1012,5856421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P1,104,none,success,
84b602a3-6ed2-846d-8a39-h2dc61a38b62,1012,5856421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P1,104,L4_duplicate,success,
84b602a3-6ed2-846d-8a39-h2dc61a38b62,1012,5856421403,voice,outgoing,national,FALSE,01/01/2024 10:00:00,01/01/2024 10:05:00,5,0,P1,104,L4_duplicate,success,
ab9922ef-5d29-4786-858d-b64695d81287,1174,9564756097,data,incoming,national,FALSE,19/01/2024 19:48:16,19/01/2024 19:54:17,0,2.22,P1,100,none,success,1
7651b8b2-874e-4bb8-ac20-89c1487bcd54,1114,9059433963,data,incoming,national,TRUE,24/01/2024 19:14:49,24/01/2024 19:20:39,0,2.66,P3,100,none,success,1
8075ab35-eb55-4a46-b280-be6f4f1ee380,1832,9763262888,data,outgoing,national,FALSE,18/01/2024 12:38:17,18/01/2024 12:38:40,0,12.97,P3,100,none,success,1
4f439595-ab20-46b3-820e-b31de203d57f,1752,9060277773,data,outgoing,international,TRUE,12/01/2024 19:19:30,12/01/2024 19:23:13,0,12.16,P2,100,none,success,1
efea2f65-2974-4829-af7a-a22be12d9460,1899,9968752124,sms,outgoing,national,TRUE,07/01/2024 19:53:10,07/01/2024 19:56:03,0,0,P1,100,none,success,1
0df00d58-db9e-49f5-a4dd-77caf84a06f6,1549,9759553295,sms,incoming,national,FALSE,06/01/2024 05:32:54,06/01/2024 05:42:22,0,0,P4,100,none,success,1
d8099d9a-6745-4ee7-8c4d-1c70ce364645,1952,9853038247,sms,outgoing,international,FALSE,26/01/2024 12:13:32,26/01/2024 12:16:53,0,0,P1,100,L1_unbilled,success,1
9eba234a-714f-4f0b-9593-e7a266425502,1381,9653683999,voice,outgoing,international,TRUE,13/01/2024 03:21:30,13/01/2024 03:30:24,534,0,P1,100,L11_suppression,suppressed,1
209eed00-f03e-4228-9329-8a96a108a390,1767,9674964335,voice,incoming,national,TRUE,14/01/2024 07:03:58,14/01/2024 07:06:57,179,0,P2,100,none,success,1
b9052712-cdc2-4192-9efe-61f7098096ff,1105,9764771211,voice,outgoing,international,TRUE,01/01/2024 12:19:18,01/01/2024 12:22:51,213,0,P2,100,none,success,1
813bc5b7-a4cf-4a89-972b-c09989ca239e,1514,9331077312,voice,outgoing,international,TRUE,09/01/2024 19:12:48,09/01/2024 19:18:08,320,0,P1,100,none,success,1
203363f3-42fc-4603-ae20-56b8232c71bd,1083,9698335236,data,incoming,international,FALSE,19/01/2024 03:36:33,19/01/2024 03:38:38,0,28.33,P0,101,none,success,1
c189de53-3475-4bcd-8cba-cafc83bf7281,1969,9128221108,sms,outgoing,national,FALSE,24/01/2024 01:09:07,24/01/2024 01:11:01,0,0,P4,101,none,success,1
fc32ba66-ede7-4e99-b6b0-ba679bd3efe2,1919,9343841759,sms,outgoing,international,TRUE,16/01/2024 10:09:09,16/01/2024 10:14:13,0,0,P3,101,none,success,1
5b98afe7-5a2c-4996-bc66-4ddf7125eb86,1846,9507282840,sms,outgoing,national,TRUE,09/01/2024 12:17:26,09/01/2024 12:23:23,0,0,P0,101,none,success,1
d784e97c-1ae7-4843-a126-5e1fec468594,1433,9580098844,sms,outgoing,national,FALSE,12/01/2024 21:14:06,12/01/2024 21:20:46,0,0,P1,101,none,success,1
